,Outlet,Agent,League,Position,Age,Country,Join,Market Value,Outcome
1,The Sun,ROOF,Premier League,Midfielder,22.0,Germany,665.0,70.0,False
2,Sky Sports,Relatives,Serie A,Midfielder,26.0,France,1096.0,30.0,False
4,Liverpool E.,Wasserman,LaLiga,Attacker,25.0,Spain,634.0,3.5,True
7,Corriere S.,LIAN Sports Group,Serie A,Defender,30.0,Senegal,2922.0,48.0,False
8,Marca,Relatives,Ligue 1,Attacker,29.0,Brazil,1793.0,100.0,False
9,Evening Std,CAA Stellar,Premier League,Defender,24.0,Scotland,1058.0,32.0,False
13,Bild,Relatives,LaLiga,Attacker,24.0,France,1771.0,50.0,False
15,Calcio M.,CAA Stellar,Premier League,Attacker,19.0,Uruguay,634.0,6.0,False
16,Mirror,Wasserman,Premier League,Attacker,23.0,England,1461.0,35.0,False
21,Sky Sports,Gol International,Premier League,Midfielder,25.0,Denmark,689.0,35.0,False
22,Guardian,CAA Base Ltd,Premier League,Midfielder,23.0,England,672.0,20.0,False
28,ESPN,ESN,LaLiga,Defender,22.0,France,1094.0,60.0,False
30,Journalists,Elite Project Group ...,Bundesliga,Attacker,21.0,England,1765.0,100.0,True
35,Express,CAA Stellar,Championship,Defender,22.0,England,1096.0,10.0,False
36,Liverpool E.,ROOF,Premier League,Attacker,21.0,England,637.0,12.0,False
39,90 Min,Wasserman,Premier League,Attacker,27.0,Scotland,662.0,10.0,False
40,The Athletic,Relatives,Premier League,Midfielder,24.0,Spain,1072.0,27.0,False
41,Sky Sports,Unique Sports Group,Premier League,Attacker,21.0,England,1461.0,22.0,False
45,Mail,Sports360 GmbH,Eredivisie,Midfielder,29.0,Germany,633.0,12.0,False
47,Mirror,Elite Project Group ...,Bundesliga,Attacker,21.0,England,1765.0,100.0,True
49,Evening Std,Teranga Sports,Championship,Attacker,23.0,Senegal,1058.0,22.0,False
50,Mirror,CAA Stellar,Premier League,Attacker,25.0,England,3287.0,65.0,True
52,Insider,Relatives,Championship,Attacker,25.0,England,668.0,28.0,False
54,ESPN,Bertolucci Sports,Premier League,Defender,23.0,Brazil,668.0,25.0,False
55,Bild,ROOF,Premier League,Midfielder,22.0,Germany,665.0,70.0,False
58,Star,Sports Invest UK ltd,Premier League,Midfielder,23.0,Brazil,1072.0,35.0,False
59,Mail,Unknown,Championship,Attacker,29.0,England,676.0,2.0,True
60,Sky Sports,Wasserman,Serie A,Midfielder,22.0,United States,365.0,25.0,False
61,Talksport,CAA Stellar,Premier League,Defender,24.0,England,674.0,45.0,False
62,Guardian,ROOF,Premier League,Midfielder,22.0,Germany,665.0,70.0,False
68,The Sun,CAA Stellar,Scottish Premiership,Attacker,23.0,France,1461.0,17.0,False
70,Mail,Unique Sports Group,Championship,Attacker,23.0,Wales,1461.0,16.0,False
71,Marca,Relatives,LaLiga,Attacker,34.0,Argentina,6209.0,80.0,False
72,ESPN,Relatives,LaLiga,Attacker,34.0,Argentina,6209.0,80.0,False
74,Times ,Goal Management,Premier League,Defender,26.0,Spain,2922.0,25.0,False
76,The Sun,Relatives,Scottish Premiership,Attacker,24.0,England,1033.0,14.0,False
82,Marca,Sports Invest UK ltd,LaLiga,Attacker,29.0,Brazil,1635.0,30.0,False
84,Express,P&P Sport ...,Liga Portugal,Defender,22.0,France,633.0,10.0,True
85,Manchester N.,HCM Sports ...,Premier League,Midfielder,24.0,Netherlands,667.0,30.0,False
86,Mail,CAA Stellar,Premier League,Defender,25.0,England,2170.0,18.0,False
90,L'Equipe,Relatives,LaLiga,Attacker,34.0,Argentina,6209.0,80.0,True
92,The Sun,Relatives,Premier League,Midfielder,22.0,England,1826.0,65.0,False
95,Mundo D.,ROOF,Premier League,Attacker,29.0,Senegal,2191.0,85.0,False
102,The Sun,Relatives,LaLiga,Attacker,34.0,Argentina,6209.0,80.0,False
104,The Sun,Unknown,Premier League,Midfielder,24.0,France,1095.0,50.0,False
105,Marca,HCM Sports ...,Premier League,Midfielder,24.0,Netherlands,667.0,30.0,False
106,Mail,ROOF,Premier League,Attacker,23.0,England,1826.0,38.0,False
107,The Athletic,CAA Stellar,Premier League,Defender,25.0,England,2170.0,18.0,False
109,The Sun,CAA Stellar,Premier League,Defender,34.0,Argentina,2531.0,1.0,False
111,Star,CAA Base Ltd,Premier League,Midfielder,25.0,England,2706.0,30.0,True
113,L'Equipe,TEAM DEPAY,Ligue 1,Attacker,27.0,Netherlands,1988.0,45.0,True
114,Marca,AC Talent,LaLiga,Midfielder,21.0,Spain,730.0,18.0,False
115,Mundo D.,Relatives,Serie A,Attacker,27.0,Argentina,2557.0,50.0,False
118,The Athletic,Relatives,LaLiga,Attacker,34.0,Argentina,6209.0,80.0,True
123,Goal,TEAM DEPAY,Ligue 1,Attacker,27.0,Netherlands,1988.0,45.0,True
126,Insider,Unique Sports Group,Championship,Attacker,37.0,England,668.0,0.3,True
127,Insider,Unknown,Scottish Premiership,Attacker,23.0,Netherlands,1089.0,0.3,False
128,90 Min,Relatives,LaLiga,Attacker,34.0,Argentina,6209.0,80.0,True
129,The Athletic,Relatives,Ligue 1,Attacker,22.0,France,1461.0,160.0,False
131,The Sun,Goal Management,Premier League,Defender,26.0,Spain,2922.0,25.0,True
133,Sky Sports,AMS CONSULTING,Serie A,Attacker,18.0,Cote d'Ivoire,668.0,18.0,True
134,The Athletic,CAA Stellar,Premier League,Defender,34.0,Argentina,2531.0,1.0,False
135,Talksport,Relatives,Bundesliga,Midfielder,22.0,France,634.0,20.0,True
136,Mail,Relatives,Bundesliga,Defender,29.0,Austria,4383.0,55.0,True
140,Star,Wasserman,Premier League,Defender,29.0,England,4018.0,5.0,False
141,The Sun,CAA Stellar,Premier League,Defender,20.0,England,730.0,5.0,False
145,Mirror,Relatives,Bundesliga,Defender,29.0,Austria,4383.0,55.0,True
