,Outlet,League,Outcome
1,The Sun,Premier League,False
2,Sky Sports,Serie A,False
16,Mirror,Premier League,False
17,Mail,Bundesliga,True
21,Sky Sports,Premier League,False
23,The Sun,LaLiga,False
25,The Athletic,LaLiga,False
38,Sky Sports,Premier League,False
40,The Athletic,Premier League,False
41,Sky Sports,Premier League,False
42,Mail,Premier League,False
45,Mail,Eredivisie,False
47,Mirror,Bundesliga,True
50,Mirror,Premier League,True
51,Mail,Ligue 1,False
52,Football Insider,Championship,False
56,Mail,Premier League,True
59,Mail,Championship,True
60,Sky Sports,Serie A,False
64,The Athletic,Premier League,False
67,Football Insider,Premier League,False
68,The Sun,Scottish Premiership,False
70,Mail,Championship,False
76,The Sun,Scottish Premiership,False
77,Sky Sports,Premier League,False
78,The Sun,Premier League,True
81,Sky Sports,Premier League,False
86,Mail,Premier League,False
91,Football Insider,Serie A,False
92,The Sun,Premier League,False
96,Football Insider,Premier League,False
97,Sky Sports,LaLiga,True
102,The Sun,LaLiga,False
104,The Sun,Premier League,False
106,Mail,Premier League,False
107,The Athletic,Premier League,False
108,The Sun,Premier League,False
109,The Sun,Premier League,False
118,The Athletic,LaLiga,True
120,Mirror,LaLiga,True
124,Football Insider,Premier League,False
126,Football Insider,Championship,True
127,Football Insider,Scottish Premiership,False
129,The Athletic,Ligue 1,False
131,The Sun,Premier League,True
133,Sky Sports,Serie A,True
134,The Athletic,Premier League,False
136,Mail,Bundesliga,True
137,Mirror,LaLiga,False
139,Mail,LaLiga,False
141,The Sun,Premier League,False
145,Mirror,Bundesliga,True
150,Sky Sports,Premier League,False
153,The Athletic,Bundesliga,False
154,The Athletic,LaLiga,False
156,Mail,Championship,True
157,Mail,Premier League,False
158,The Sun,Premier League,False
159,The Sun,LaLiga,False
160,The Athletic,LaLiga,False
166,Sky Sports,Premier League,False
168,Football Insider,Premier League,False
170,The Athletic,Ligue 1,False
174,Mirror,Premier League,False
175,The Sun,Championship,False
179,Mail,Premier League,True
182,Football Insider,Premier League,True
183,Mail,Premier League,True
185,Mail,Bundesliga,False
188,The Sun,Premier League,False
192,Mail,Championship,False
195,Football Insider,Championship,False
197,Mail,Premier League,False
200,The Sun,Bundesliga,True
205,Mail,Premier League,False
206,Sky Sports,Premier League,False
207,Mail,Bundesliga,True
213,Sky Sports,Premier League,True
214,Mirror,Premier League,False
222,The Sun,Championship,False
229,Mail,Championship,False
230,Mirror,Premier League,False
233,Sky Sports,Championship,True
236,Sky Sports,Championship,True
237,The Sun,Premier League,True
241,The Sun,Süper Lig,False
243,Mail,Serie A,False
244,Sky Sports,Premier League,True
247,Sky Sports,Premier League,False
254,Mail,Premier League,True
259,The Sun,Premier League,False
260,Mail,Ligue 1,True
263,Mail,Championship,False
264,Mail,LaLiga,True
271,The Sun,Championship,True
275,Sky Sports,Premier League,True
278,Sky Sports,Championship,False
282,Sky Sports,LaLiga,True
288,Mail,Championship,False
290,The Sun,Premier League,False
294,Mail,Premier League,False
298,Mail,LaLiga,True
300,Mirror,Championship,False
301,Sky Sports,Premier League,False
302,Mail,Premier League,False
303,Mail,Premier League,False
310,The Sun,Bundesliga,False
312,Mirror,Premier League,False
313,Sky Sports,Premier League,True
317,Sky Sports,Bundesliga,False
320,Mirror,LaLiga,False
321,Mirror,LaLiga,False
323,Mail,Premier League,False
324,The Sun,Premier League,True
325,Mirror,Premier League,False
328,Sky Sports,Scottish Premiership,False
329,Football Insider,Premier League,True
335,Mirror,Serie A,False
338,Football Insider,Ligue 1,False
339,Mail,LaLiga,False
342,The Sun,Scottish Premiership,False
348,Mirror,Bundesliga,True
349,Mirror,LaLiga,False
354,Football Insider,Premier League,False
356,Football Insider,Eredivisie,False
360,Mail,Premier League,False
365,The Athletic,Serie A,False
369,The Sun,Ligue 1,False
375,The Athletic,LaLiga,False
376,The Sun,Premier League,True
378,The Sun,Premier League,True
379,Sky Sports,Premier League,False
380,Mirror,Championship,False
382,Football Insider,Scottish Premiership,False
389,Mail,Ligue 1,True
