League,Player Link,Player,Position,Date of Birth,Country,Join,Contract,Market Value,Club,Club Link,Season
Liga Portugal,https://www.transfermarkt.co.uk/odysseas-vlachodimos/profil/spieler/124419,Odysseas Vlachodimos,Goalkeeper,"Apr 26, 1994 (27)",Greece,"Jul 1, 2018","Jun 30, 2027",€12.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/helton-leite/profil/spieler/175383,Helton Leite,Goalkeeper,"Nov 2, 1990 (30)",Brazil,"Aug 8, 2020","Jun 30, 2024",€7.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/mile-svilar/profil/spieler/338670,Mile Svilar,Goalkeeper,"Aug 27, 1999 (21)",Serbia,"Aug 28, 2017","Jun 30, 2027",€2.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/fabio-duarte/profil/spieler/258036,Fábio Duarte,Goalkeeper,"May 11, 1998 (23)",Portugal,-,"Jun 30, 2024",€350k,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/samuel-soares/profil/spieler/504072,Samuel Soares,Goalkeeper,"Jun 15, 2002 (19)",Portugal,-,"Jun 30, 2027",-,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/ruben-dias/profil/spieler/258004,Rúben Dias,Centre-Back,"May 14, 1997 (24)",Portugal,"Jul 1, 2017","Jun 30, 2027",€75.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/jean-clair-todibo/profil/spieler/605184,Jean-Clair Todibo,Centre-Back,"Dec 30, 1999 (21)",France,"Oct 5, 2020","Jun 30, 2027",€12.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/lucas-verissimo/profil/spieler/411662,Lucas Veríssimo,Centre-Back,"Jul 2, 1995 (25)",Brazil,"Jan 31, 2021","Jun 30, 2026",€8.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/nicolas-otamendi/profil/spieler/54781,Nicolás Otamendi,Centre-Back,"Feb 12, 1988 (33)",Argentina,"Sep 29, 2020","Jun 30, 2025",€8.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/jan-vertonghen/profil/spieler/43250,Jan Vertonghen,Centre-Back,"Apr 24, 1987 (34)",Belgium,"Aug 14, 2020","Jun 30, 2024",€6.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
