,League,Player Link,Player,Position,Age,Country,Join,Market Value,Club,Year
0,Süper Lig,https://www.transfermarkt.co.uk/altay-bayindir/profil/spieler/336077,Altay Bayindir,Goalkeeper,24.0,Turkey,1087.0,16.0,Fenerbahce,2022
1,Süper Lig,https://www.transfermarkt.co.uk/berke-ozer/profil/spieler/361256,Berke Ozer,Goalkeeper,22.0,Turkey,1451.0,3.5,Fenerbahce,2022
2,Süper Lig,https://www.transfermarkt.co.uk/bartu-kulbilge/profil/spieler/839652,Bartu Kulbilge,Goalkeeper,19.0,Turkey,365.0,0.15,Fenerbahce,2022
3,Süper Lig,https://www.transfermarkt.co.uk/ertugrul-cetin/profil/spieler/654049,Ertugrul Cetin,Goalkeeper,19.0,Turkey,456.0,0.075,Fenerbahce,2022
4,Süper Lig,https://www.transfermarkt.co.uk/furkan-onur-akyuz/profil/spieler/955382,Furkan Onur Akyuz,Goalkeeper,16.0,Turkey,,0.0,Fenerbahce,2022
5,Süper Lig,https://www.transfermarkt.co.uk/min-jae-kim/profil/spieler/503482,Min-jae Kim,Centre-Back,25.0,"Korea, South",319.0,14.0,Fenerbahce,2022
6,Süper Lig,https://www.transfermarkt.co.uk/attila-szalai/profil/spieler/263380,Attila Szalai,Centre-Back,24.0,Hungary,529.0,12.0,Fenerbahce,2022
7,Süper Lig,https://www.transfermarkt.co.uk/marcel-tisserand/profil/spieler/170463,Marcel Tisserand,Centre-Back,29.0,DR Congo,654.0,2.8,Fenerbahce,2022
8,Süper Lig,https://www.transfermarkt.co.uk/serdar-aziz/profil/spieler/44996,Serdar Aziz,Centre-Back,31.0,Turkey,1247.0,2.5,Fenerbahce,2022
9,Süper Lig,https://www.transfermarkt.co.uk/steven-caulker/profil/spieler/121280,Steven Caulker,Centre-Back,30.0,Sierra Leone,365.0,2.0,Fenerbahce,2022
10,Süper Lig,https://www.transfermarkt.co.uk/emir-ortakaya/profil/spieler/727081,Emir Ortakaya,Centre-Back,18.0,Turkey,0.0,0.0,Fenerbahce,2022
11,Süper Lig,https://www.transfermarkt.co.uk/bora-cuha/profil/spieler/747112,Bora Cuha,Centre-Back,19.0,Turkey,,0.0,Fenerbahce,2022
12,Süper Lig,https://www.transfermarkt.co.uk/yusuf-kocaturk/profil/spieler/875113,Yusuf Kocaturk,Centre-Back,17.0,Turkey,,0.0,Fenerbahce,2022
13,Süper Lig,https://www.transfermarkt.co.uk/filip-novak/profil/spieler/107665,Filip Novak,Left-Back,32.0,Czech Republic,687.0,1.0,Fenerbahce,2022
14,Süper Lig,https://www.transfermarkt.co.uk/cagtay-kurukalip/profil/spieler/616886,Cagtay Kurukalip,Left-Back,20.0,Turkey,330.0,0.25,Fenerbahce,2022
15,Süper Lig,https://www.transfermarkt.co.uk/ferdi-kadioglu/profil/spieler/369316,Ferdi Kadioglu,Right-Back,22.0,Turkey,1448.0,10.5,Fenerbahce,2022
16,Süper Lig,https://www.transfermarkt.co.uk/bright-osayi-samuel/profil/spieler/358948,Bright Osayi-Samuel,Right-Back,24.0,Nigeria,519.0,8.0,Fenerbahce,2022
17,Süper Lig,https://www.transfermarkt.co.uk/nazim-sangare/profil/spieler/157113,Nazim Sangare,Right-Back,28.0,Turkey,646.0,1.7,Fenerbahce,2022
18,Süper Lig,https://www.transfermarkt.co.uk/serhat-ahmetoglu/profil/spieler/667401,Serhat Ahmetoglu,Right-Back,20.0,Turkey,585.0,0.2,Fenerbahce,2022
19,Süper Lig,https://www.transfermarkt.co.uk/ruhan-arda-aksoy/profil/spieler/655909,Ruhan Arda Aksoy,Right-Back,19.0,Turkey,,0.05,Fenerbahce,2022
20,Süper Lig,https://www.transfermarkt.co.uk/murat-saglam/profil/spieler/339051,Murat Saglam,Right-Back,24.0,Turkey,1096.0,0.025,Fenerbahce,2022
21,Süper Lig,https://www.transfermarkt.co.uk/luiz-gustavo/profil/spieler/10471,Luiz Gustavo,Defensive Midfield,34.0,Brazil,1033.0,1.2,Fenerbahce,2022
23,Süper Lig,https://www.transfermarkt.co.uk/miha-zajc/profil/spieler/149829,Miha Zajc,Central Midfield,27.0,Slovenia,1247.0,6.0,Fenerbahce,2022
24,Süper Lig,https://www.transfermarkt.co.uk/ozan-tufan/profil/spieler/236471,Ozan Tufan,Central Midfield,27.0,Turkey,1096.0,3.8,Fenerbahce,2022
25,Süper Lig,https://www.transfermarkt.co.uk/mert-hakan-yandas/profil/spieler/306462,Mert Hakan Yandas,Central Midfield,27.0,Turkey,689.0,3.5,Fenerbahce,2022
26,Süper Lig,https://www.transfermarkt.co.uk/muhammed-gumuskaya/profil/spieler/558727,Muhammed Gumuskaya,Central Midfield,21.0,Turkey,1096.0,2.5,Fenerbahce,2022
27,Süper Lig,https://www.transfermarkt.co.uk/jose-sosa/profil/spieler/20137,Jose Sosa,Central Midfield,37.0,Argentina,679.0,0.3,Fenerbahce,2022
28,Süper Lig,https://www.transfermarkt.co.uk/fatih-sanliturk/profil/spieler/839596,Fatih Sanliturk,Central Midfield,19.0,Turkey,365.0,0.25,Fenerbahce,2022
29,Süper Lig,https://www.transfermarkt.co.uk/arda-guler/profil/spieler/861410,Arda Guler,Attacking Midfield,17.0,Turkey,353.0,6.0,Fenerbahce,2022
30,Süper Lig,https://www.transfermarkt.co.uk/dimitrios-pelkas/profil/spieler/212832,Dimitrios Pelkas,Attacking Midfield,28.0,Greece,634.0,4.5,Fenerbahce,2022
31,Süper Lig,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664,Mesut Ozil,Attacking Midfield,33.0,Germany,522.0,1.8,Fenerbahce,2022
32,Süper Lig,https://www.transfermarkt.co.uk/max-meyer/profil/spieler/146164,Max Meyer,Attacking Midfield,26.0,Germany,302.0,0.5,Fenerbahce,2022
33,Süper Lig,https://www.transfermarkt.co.uk/arda-cagdas/profil/spieler/875114,Arda Cagdas,Attacking Midfield,18.0,Turkey,,0.0,Fenerbahce,2022
34,Süper Lig,https://www.transfermarkt.co.uk/diego-rossi/profil/spieler/317454,Diego Rossi,Left Winger,24.0,Uruguay,0.0,14.5,Fenerbahce,2022
35,Süper Lig,https://www.transfermarkt.co.uk/arda-kurtulan/profil/spieler/700031,Arda Kurtulan,Left Winger,19.0,Albania,353.0,0.075,Fenerbahce,2022
36,Süper Lig,https://www.transfermarkt.co.uk/bora-aydinlik/profil/spieler/900024,Bora Aydinlik,Left Winger,17.0,Turkey,,0.0,Fenerbahce,2022
37,Süper Lig,https://www.transfermarkt.co.uk/irfan-can-kahveci/profil/spieler/216603,Irfan Can Kahveci,Right Winger,26.0,Turkey,516.0,8.5,Fenerbahce,2022
38,Süper Lig,https://www.transfermarkt.co.uk/burak-kapacak/profil/spieler/340251,Burak Kapacak,Right Winger,22.0,Turkey,326.0,0.9,Fenerbahce,2022
39,Süper Lig,https://www.transfermarkt.co.uk/mergim-berisha/profil/spieler/307924,Mergim Berisha,Centre-Forward,24.0,Germany,302.0,6.0,Fenerbahce,2022
40,Süper Lig,https://www.transfermarkt.co.uk/serdar-dursun/profil/spieler/80059,Serdar Dursun,Centre-Forward,30.0,Turkey,365.0,3.5,Fenerbahce,2022
41,Süper Lig,https://www.transfermarkt.co.uk/ally-samatta/profil/spieler/182201,Ally Samatta,Centre-Forward,29.0,Tanzania,365.0,3.0,Fenerbahce,2022
42,Süper Lig,https://www.transfermarkt.co.uk/enner-valencia/profil/spieler/139503,Enner Valencia,Centre-Forward,32.0,Ecuador,672.0,2.4,Fenerbahce,2022
43,Süper Lig,https://www.transfermarkt.co.uk/melih-bostan/profil/spieler/697917,Melih Bostan,Centre-Forward,18.0,Turkey,,0.15,Fenerbahce,2022
44,Süper Lig,https://www.transfermarkt.co.uk/gokhan-akkan/profil/spieler/223025,Gokhan Akkan,Goalkeeper,27.0,Turkey,2557.0,1.5,Caykur Rizespor,2022
45,Süper Lig,https://www.transfermarkt.co.uk/tarik-cetin/profil/spieler/286170,Tarik Cetin,Goalkeeper,25.0,Turkey,1073.0,0.325,Caykur Rizespor,2022
46,Süper Lig,https://www.transfermarkt.co.uk/zafer-gorgen/profil/spieler/576566,Zafer Gorgen,Goalkeeper,22.0,Turkey,1248.0,0.1,Caykur Rizespor,2022
47,Süper Lig,https://www.transfermarkt.co.uk/zeki-furkan-kayali/profil/spieler/876715,Zeki Furkan Kayali,Goalkeeper,18.0,Turkey,,0.05,Caykur Rizespor,2022
48,Süper Lig,https://www.transfermarkt.co.uk/sebastian-holmen/profil/spieler/222320,Sebastian Holmen,Centre-Back,30.0,Sweden,365.0,0.85,Caykur Rizespor,2022
49,Süper Lig,https://www.transfermarkt.co.uk/emir-dilaver/profil/spieler/80161,Emir Dilaver,Centre-Back,31.0,Austria,641.0,0.5,Caykur Rizespor,2022
51,Süper Lig,https://www.transfermarkt.co.uk/nathan-monzango/profil/spieler/804715,Nathan Monzango,Centre-Back,21.0,France,296.0,0.4,Caykur Rizespor,2022
52,Süper Lig,https://www.transfermarkt.co.uk/emirhan-topcu/profil/spieler/531332,Emirhan Topcu,Centre-Back,21.0,Turkey,1780.0,0.3,Caykur Rizespor,2022
53,Süper Lig,https://www.transfermarkt.co.uk/anil-yasar/profil/spieler/685329,Anil Yasar,Centre-Back,19.0,Turkey,353.0,0.175,Caykur Rizespor,2022
54,Süper Lig,https://www.transfermarkt.co.uk/selim-ay/profil/spieler/157175,Selim Ay,Centre-Back,30.0,Turkey,661.0,0.125,Caykur Rizespor,2022
55,Süper Lig,https://www.transfermarkt.co.uk/batuhan-cakir/profil/spieler/667428,Batuhan Cakir,Centre-Back,21.0,Turkey,365.0,0.0,Caykur Rizespor,2022
56,Süper Lig,https://www.transfermarkt.co.uk/cemali-sertel/profil/spieler/573981,Cemali Sertel,Left-Back,22.0,Turkey,365.0,1.0,Caykur Rizespor,2022
58,Süper Lig,https://www.transfermarkt.co.uk/alberk-koc/profil/spieler/374882,Alberk Koc,Left-Back,25.0,Turkey,882.0,0.15,Caykur Rizespor,2022
59,Süper Lig,https://www.transfermarkt.co.uk/gokhan-gonul/profil/spieler/33793,Gokhan Gonul,Right-Back,37.0,Turkey,350.0,0.125,Caykur Rizespor,2022
60,Süper Lig,https://www.transfermarkt.co.uk/aziz-aksoy/profil/spieler/743421,Aziz Aksoy,Right-Back,21.0,Turkey,353.0,0.05,Caykur Rizespor,2022
